# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
73 -0.04157814637504371 0.7039160193426037 0.7078315247741256 -0.04180942468887461 9.160120010375977 6.842302322387695 101.22425842285156 1 images/loop_0072.png

74 -0.033210103300643834 0.7039874385713429 0.7086474544470253 -0.03342993685712481 8.589183807373047 6.868825435638428 101.62158203125 1 images/loop_0073.png

75 -0.024827394779821117 0.7039585859941064 0.7093659170188834 -0.025018102357769134 8.012117385864258 6.895773410797119 101.89915466308594 1 images/loop_0074.png

76 -0.016577977153606083 0.7038296369326682 0.7099784226583084 -0.01672280503813639 7.439444065093994 6.922788619995117 101.83177185058594 1 images/loop_0075.png

77 -0.00838012065176023 0.7036042101280806 0.7104922806919082 -0.00846215960098673 6.865866184234619 6.949974536895752 101.55736541748047 1 images/loop_0076.png

78 -0.00014329944118857715 0.703282435119911 0.7109105252663501 -0.00014485372143302477 6.285281181335449 6.977416038513184 101.27046966552734 1 images/loop_0077.png

79 0.007356149512937147 0.7029006584635726 0.7112110455730446 0.007443121033291811 5.753127574920654 7.002869129180908 100.5337905883789 1 images/loop_0078.png

80 0.014983375347070197 0.702431206162548 0.7114320819420712 0.0151753700385594 5.208624839782715 7.028775215148926 99.79298400878906 1 images/loop_0079.png

81 0.02346886600901576 0.701820028207414 0.7115698581316995 0.023794901420858827 4.599201679229736 7.057045936584473 99.54204559326172 1 images/loop_0080.png

82 0.03212235053820774 0.7010979790031237 0.7115945509893207 0.03260327339307145 3.974029541015625 7.085368633270264 99.715576171875 1 images/loop_0081.png

83 0.040582806867274265 0.7002931794166567 0.7115071086462151 0.04123266902817768 3.35947322845459 7.112666130065918 100.12122344970703 1 images/loop_0082.png

84 0.04914291999429896 0.6993731287544528 0.7113114793484594 0.04998179206218667 2.7345752716064453 7.14025354385376 100.29681396484375 1 images/loop_0083.png

85 0.05731728959533308 0.6984031791966954 0.7110152813906222 0.05835235411196105 2.1352176666259766 7.1659345626831055 100.88186645507812 1 images/loop_0084.png

86 0.06514934743922268 0.6973872218113509 0.7106331140568113 0.06638676515999287 1.5587787628173828 7.190070152282715 101.62208557128906 1 images/loop_0085.png

87 -0.0028410373146605596 0.7713183854010008 0.6364388277304586 -0.002344228326868092 22.944849014282227 -13.8291654586792 98.86527252197266 1 images/loop_0086.png

88 0.02019240808491273 0.7694892474041705 0.6381208079069836 0.016745127686414785 18.704078674316406 -13.737099647521973 100.58732604980469 1 images/loop_0087.png

89 0.031702187931228074 0.7674045701227776 0.639833213638649 0.026432097152646272 17.211122512817383 -13.548259735107422 102.10494995117188 1 images/loop_0088.png

90 0.030425773259895938 0.7677529338671575 0.6395212168367423 0.025343994861931507 19.26670265197754 -13.837383270263672 102.69825744628906 1 images/loop_0089.png

91 0.04886582558959102 0.7644969800806416 0.6414634540744066 0.04100165391735311 15.978059768676758 -13.420886993408203 104.13610076904297 1 images/loop_0090.png

92 0.06838382919391553 0.7605191666398515 0.6431098829625782 0.05782670243115973 12.373950958251953 -12.847816467285156 105.0949478149414 1 images/loop_0091.png

93 0.08651656454026875 0.7554925213249033 0.6452028460199197 0.07388654661090754 9.040658950805664 -12.015826225280762 105.9275894165039 1 images/loop_0092.png

94 0.10410568695098173 0.7505663644870705 0.6463550006961505 0.08965127729266109 5.788328170776367 -11.287826538085938 106.46927642822266 1 images/loop_0093.png

95 0.12074060336262296 0.7468929330709706 0.6455102233687152 0.10435135243370441 2.824422836303711 -10.982227325439453 106.53060913085938 1 images/loop_0094.png

96 0.13702094205878174 0.7442235691858222 0.642919273538937 0.11836954092081442 -0.0366668701171875 -11.158273696899414 106.8780288696289 1 images/loop_0095.png

97 0.15333042743896635 0.7408932633741326 0.6403174850694471 0.1325159259204346 -3.0004806518554688 -11.25748062133789 107.32369232177734 1 images/loop_0096.png

98 0.16696038942857777 0.7385358569986469 0.6371360620944161 0.1440369906237694 -5.126049041748047 -11.524870872497559 107.33606719970703 1 images/loop_0097.png

99 0.1810065005320336 0.7346612138387396 0.6348569770151777 0.15641664355587914 -7.472751617431641 -11.330909729003906 106.85324096679688 1 images/loop_0098.png

100 0.18842121298643108 0.7352212519806053 0.6307289322166326 0.16164210836802295 -7.716342926025391 -12.162322044372559 106.7451400756836 1 images/loop_0099.png

101 0.19880085325980265 0.7335165151430927 0.627316209708552 0.17001798667318502 -8.841796875 -12.49046802520752 106.33487701416016 1 images/loop_0100.png

102 0.18151515365914053 0.6717539843139021 0.6933260428335151 0.18734415357655299 -7.108161926269531 7.48506498336792 107.74048614501953 1 images/loop_0101.png

103 0.1854724471602901 0.6705394822206718 0.6923191269851843 0.19149673766954634 -7.4008331298828125 7.4910054206848145 109.2064208984375 1 images/loop_0102.png

104 0.22258673054168954 0.7365384614480469 0.6114124954161675 0.18477284065435828 -11.605445861816406 -16.488595962524414 109.3329849243164 1 images/loop_0103.png

105 0.19285189512932865 0.6682103970718036 0.6903651600784035 0.19924597245638254 -7.945281982421875 7.501327991485596 112.16685485839844 1 images/loop_0104.png

106 0.19459813816671492 0.6676563893572045 0.6898804827624515 0.2010756819607884 -8.073657989501953 7.503017902374268 113.9101333618164 1 images/loop_0105.png

107 0.19687204896242955 0.6669215703876279 0.6892460893571107 0.2034621429036988 -8.240776062011719 7.505541801452637 115.59337615966797 1 images/loop_0106.png

108 0.23265365090838203 0.7312248859510884 0.6110515784936996 0.19441814037063698 -12.200115203857422 -17.157243728637695 115.46273040771484 1 images/loop_0107.png

109 0.23935222051041846 0.7258736462970443 0.6124047534006636 0.20193657955020905 -12.867839813232422 -16.167198181152344 115.78060150146484 1 images/loop_0108.png

110 0.2122586483435003 0.6616481278372094 0.6847702864616787 0.2196762980207404 -9.367862701416016 7.525628089904785 117.74134063720703 1 images/loop_0109.png

111 0.21715090856480967 0.6598948357306795 0.6832515412321631 0.2248368743985979 -9.72396469116211 7.530895233154297 118.7787094116211 1 images/loop_0110.png

112 0.22144375700543129 0.6583268420437579 0.6818794376209245 0.2293662226174208 -10.035396575927734 7.53498649597168 119.9959945678711 1 images/loop_0111.png

113 0.22533698776984917 0.6568802971525627 0.680603371524646 0.23347498329554683 -10.316970825195312 7.538296222686768 121.30847930908203 1 images/loop_0112.png

114 0.22901221547837422 0.6554926259751217 0.6793714039591967 0.2373548355025351 -10.581985473632812 7.541106224060059 122.66099548339844 1 images/loop_0113.png

115 0.23268058192839972 0.6540849571252342 0.6781158366168428 0.24122920176749196 -10.845756530761719 7.54366397857666 123.9974365234375 1 images/loop_0114.png

116 0.2694722669041946 0.7017303820447018 0.6156793803797124 0.2364277243898525 -15.863414764404297 -13.29409122467041 124.27101135253906 1 images/loop_0115.png

117 0.26783528953918856 0.7000913409388685 0.6182212100561008 0.2365140745423966 -14.240669250488281 -12.744155883789062 125.67009735107422 1 images/loop_0116.png

118 0.26667492306972373 0.6986005138177472 0.6203016598305229 0.23678610244445408 -12.513423919677734 -12.256783485412598 126.7428970336914 1 images/loop_0117.png

119 0.2650419709545573 0.6963563708300191 0.6233398263117901 0.23725096284431957 -10.498863220214844 -11.357380867004395 127.33634948730469 1 images/loop_0118.png

120 0.26403709217469834 0.6939924869267247 0.6260408584001068 0.23818414233287533 -8.655723571777344 -10.480240821838379 127.78839874267578 1 images/loop_0119.png

121 0.26404292347598973 0.6916549048279859 0.6280239349137035 0.23975146373932965 -7.106304168701172 -9.71830940246582 127.99044036865234 1 images/loop_0120.png

122 0.26294503753701565 0.6901363492324938 0.6300387946486734 0.24004758682467298 -5.096218109130859 -9.094232559204102 128.1501007080078 1 images/loop_0121.png

123 0.26267340422544566 0.6867619132275251 0.633037389487631 0.24212480410600223 -3.5857620239257812 -7.8935956954956055 128.067626953125 1 images/loop_0122.png

124 0.2624746658708665 0.684364979071994 0.6351469214092257 0.24359805709436355 -2.2178955078125 -7.098935127258301 128.4134979248047 1 images/loop_0123.png

125 0.2654207865938228 0.6816369902100238 0.6353826688704758 0.24740995073029648 -2.3764686584472656 -6.721014499664307 129.84527587890625 1 images/loop_0124.png

126 0.2666653654067691 0.6797407525643316 0.6360633667814721 0.2495305304654486 -1.580047607421875 -6.375432014465332 130.98721313476562 1 images/loop_0125.png

127 0.2628260281958303 0.6786760783839989 0.6395191829322154 0.24766201604976035 1.3086700439453125 -5.566076278686523 131.6288604736328 1 images/loop_0126.png

128 0.26465188806946777 0.6765696751099665 0.6399588151208563 0.25033091661233153 2.25140380859375 -5.110534191131592 131.5863800048828 1 images/loop_0127.png

129 0.26944816788745946 0.6737440246723457 0.6388909019032102 0.25550947048143746 2.0027618408203125 -4.774845600128174 131.03602600097656 1 images/loop_0128.png

130 0.2752998542265853 0.6710848337637496 0.6368652467277841 0.2612619254033407 1.28790283203125 -4.6339545249938965 130.1481170654297 1 images/loop_0129.png

131 0.28189352114729505 0.668457254836035 0.6341755137941334 0.267436644639807 0.22539520263671875 -4.6122541427612305 129.0485382080078 1 images/loop_0130.png

132 0.2970763438634739 0.6627008586131976 0.6272938006438177 0.28120402839197667 -4.1514434814453125 -4.816091060638428 127.70474243164062 1 images/loop_0131.png

133 0.3014087284770705 0.6610679392387966 0.625206985851117 0.2850582097596345 -4.46246337890625 -4.830349922180176 126.34298706054688 1 images/loop_0132.png

134 0.3058429289093538 0.6592123047333105 0.6231484883325557 0.2891110541179559 -4.8752593994140625 -4.787199020385742 124.92198944091797 1 images/loop_0133.png

135 0.3074675342448911 0.6590570182068588 0.6220128397913336 0.29018543945617326 -4.20916748046875 -4.873955726623535 123.48638916015625 1 images/loop_0134.png

136 0.3083705073835038 0.6591873757271225 0.621227678712921 0.29061280952323154 -3.3623199462890625 -4.932329177856445 121.99407196044922 1 images/loop_0135.png

137 0.30819445516435806 0.6599640015407198 0.6208171392329179 0.2899133907065362 -2.141712188720703 -5.028151512145996 120.47892761230469 1 images/loop_0136.png

138 0.3098792148239982 0.6598044135497129 0.6196327557680822 0.29101246718935336 -1.6608314514160156 -5.092368125915527 118.9162368774414 1 images/loop_0137.png

